Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code
BT13 3BG,No,54.604886,-5.959653,144381,530510,NW443305,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1984-12-01,1991-12-01,"","",,,"","","Shankill 1","",,33,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,8,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23R+X4
BT13 3BH,Yes,54.602853,-5.959492,144379,530283,NW443302,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1988-03-01,,"","",,,"","","Shankill 1","",,29,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23R+46
BT13 3BJ,Yes,54.602239,-5.961442,144249,530222,NW442302,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",2000-06-01,,"","",52,23,"","","Shankill 1","",,30,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ22Q+VC
BT13 3BL,Yes,54.601542,-5.96061,144298,530141,NW442301,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1999-12-01,,"","",,,"","","Shankill 1","",,29,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ22Q+JQ
BT13 3BN,Yes,54.607453,-5.962172,144235,530804,NW442308,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",83,26,"","","Woodvale 2","",,45,,95GG51S2,,N99999999,"(pseudo) Northern Ireland",,N00001633,N06000002,12,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ24Q+X4
BT13 3BP,Yes,54.609911,-5.962993,144197,531080,NW441310,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",94,40,"","","Woodvale 3","",,57,,95GG51S3,,N99999999,"(pseudo) Northern Ireland",,N00001636,N06000002,17,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ25P+XR
BT13 3BQ,No,54.609649,-5.962882,144203,531051,NW442310,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,1996-06-01,"","",,,"","","Woodvale 3","",,55,,95GG51S3,,N99999999,"(pseudo) Northern Ireland",,N00001636,N06000002,17,8,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ25P+VR
BT13 3BS,Yes,54.606298,-5.960775,144318,530671,NW443306,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",,,"","","Woodvale 2","",,39,,95GG51S2,,N99999999,"(pseudo) Northern Ireland",,N00001634,N06000002,12,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ24Q+GM
BT13 3BT,Yes,54.6067,-5.961699,144261,530719,NW442307,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",,,"","","Woodvale 2","",,43,,95GG51S2,,N99999999,"(pseudo) Northern Ireland",,N00001634,N06000002,12,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ24Q+M8
BT13 3BU,Yes,54.610187,-5.963893,144141,531114,NW441311,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",124,67,"","","Woodvale 2","",,60,,95GG51S2,,N99999999,"(pseudo) Northern Ireland",,N00001629,N06000002,12,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ26P+3C
